"Property.Name","Price","House.Type","Area","Bedrooms","Bathrooms","Receptions","Location","City.County","Postal.Code"
"Stile Hall Gardens",-0.0569723948559351,"House",0.296883753343799,0.590542054646114,0.590542054646114,0.590542054646114,"Chiswick","London","W4 3BS"
"Wavendon Avenue",0.214277383556638,"House",0.428090477208084,1.24943476069564,1.24943476069564,1.24943476069564,"Chiswick","London","W4 4NR"
"Duke Road",-0.29293764924736,"House",-0.265326063437803,0.590542054646114,0.590542054646114,0.590542054646114,"Chiswick","London","W4 2BA"
"Hobury Street",-0.392175373056838,"Flat / Apartment",-0.706591134757914,-0.727243357452941,-0.727243357452941,-0.727243357452941,"","London","SW10 0JB"
"Maltings Close",-0.447307441839881,"House",-0.392867795015377,-0.0683506514034138,-0.0683506514034138,-0.0683506514034138,"Barnes","London","SW13 0NL"
"Munster Road",-0.116537081969135,"House",0.125362114325683,0.590542054646114,0.590542054646114,0.590542054646114,"Fulham","London","SW6 5RF"
"Khyber Road",-0.414228200570055,"Flat / Apartment",-0.287316017158075,-0.727243357452941,-0.727243357452941,-0.727243357452941,"","London","SW11 2PZ"
"Coles Court",-0.53551875189275,"Flat / Apartment",-0.618631319876829,-0.0683506514034138,-0.0683506514034138,-0.0683506514034138,"","Battersea","SW11 3DU"
"Prince Of Wales Mansions",-0.579624406919185,"Flat / Apartment",-0.764498012887961,-1.38613606350247,-1.38613606350247,-1.38613606350247,"","London","SW11 4BG"
"Old Battersea House",3.57733357932227,"House",6.14767743985064,4.54389829094328,4.54389829094328,4.54389829094328," Battersea","London","SW11 3LD"
"Kersley Street",-0.00625089157553533,"House",0.144420074216585,1.24943476069564,1.24943476069564,1.24943476069564,"","London","SW11 4PT"
"Battersea Bridge Road",-0.590650820675794,"New development",-0.823137889475351,-1.38613606350247,-1.38613606350247,-1.38613606350247,"","London","SW11 3AU"
"Larkhall Rise",0.148118901016986,"House",0.385576566682226,0.590542054646114,0.590542054646114,0.590542054646114,"","London","SW4 6HS"
"Ashley Park Avenue",0.699439588847418,"House",2.84845138335261,1.90832746674517,1.90832746674517,1.90832746674517,"Walton-on-Thames","Surrey","KT12 1EU"
"Carlisle Mansions",0.0599071499075663,"Flat / Apartment",-0.0769454599008128,-0.0683506514034138,-0.0683506514034138,-0.0683506514034138," Victoria","London","SW1P 1EZ"
"Park Close",-0.502439510622924,"House",-0.607636343016693,-0.0683506514034138,-0.0683506514034138,-0.0683506514034138,"South Hackney","London","E9 7LF"
"Century Court",-0.0503565466019699,"Flat / Apartment",-0.352552879861546,-0.727243357452941,-0.727243357452941,-0.727243357452941,"Grove End Road","London","NW8 9LD"
"Eaton Square",1.49334137932324,"Flat / Apartment",0.429556474122769,-0.0683506514034138,-0.0683506514034138,-0.0683506514034138,"","London","SW1W 9DF"
"Hornsey Town Hall",-0.270884821734143,"New development",-0.297577995560868,-0.0683506514034138,-0.0683506514034138,-0.0683506514034138,"Crouch End","London","N8 9JJ"
"The oTTo, Hackney",-0.606087799935046,"New development",-0.837797858622199,-1.38613606350247,-1.38613606350247,-1.38613606350247," Downs Road","Clapton","E5 8DS"
"Francis House",0.655333933820983,"Penthouse",0.345994649985738,-0.0683506514034138,-0.0683506514034138,-0.0683506514034138,"Coleridge Gardens","London","SW10 0RP"
"Wendle Square",-0.381148959300229,"Flat / Apartment",-0.355484873690916,-0.0683506514034138,-0.0683506514034138,-0.0683506514034138,"Battersea","London","SW11 4SS"
"Rectory Road",0.214277383556638,"House",0.584952147079353,0.590542054646114,0.590542054646114,0.590542054646114,"Barnes","London","SW13 0DX"
"Thames Quay",0.101807963239229,"Flat / Apartment",-0.135585336488203,-0.0683506514034138,-0.0683506514034138,-0.0683506514034138,"Chelsea Harbour","London","SW10 0UY"
"Prince Edward Mansions",-0.270884821734143,"Flat / Apartment",-0.661145230402686,-0.727243357452941,-0.727243357452941,-0.727243357452941," Bayswater","London","W2 4WA"
"Harbut Road",-0.498028945120281,"Flat / Apartment",-0.545331474142591,-0.727243357452941,-0.727243357452941,-0.727243357452941,"","London","SW11 2RE"
"Chasefield Road",-0.436281028083272,"House",-0.425852725595784,0.590542054646114,0.590542054646114,0.590542054646114,"Tooting","London","SW17 8LW"
"Fernwood Avenue",-0.270884821734143,"House",0.575423167133902,1.90832746674517,1.90832746674517,1.90832746674517,"","London","SW16 1RD"
"Havilland Mews",-0.559776862157289,"Flat / Apartment",-0.784288971236206,-0.727243357452941,-0.727243357452941,-0.727243357452941,"","London","W12 8BG"
"Hampermill Lane",-0.0834357878717958,"House",2.42551127346606,-0.0683506514034138,-0.0683506514034138,-0.0683506514034138,"Watford","Hertfordshire","WD19 4PL"
"Gatehill Road",0.322336238371402,"House",2.30529952646191,1.90832746674517,1.90832746674517,1.90832746674517,"Northwood","Middlesex","HA6 3QF"
"St. Davids Mews",-0.460539138347812,"House",-0.541666481855879,-0.0683506514034138,-0.0683506514034138,-0.0683506514034138,"Morgan Street","London","E3 5AZ"
"Chester Close South",-0.456128572845168,"Flat / Apartment",-0.632558290566334,-0.727243357452941,-0.727243357452941,-0.727243357452941,"Regent's Park","London","NW1 4JG"
"Lady Somerset Road",-0.601677234432402,"Flat / Apartment",-0.919893685844545,-1.38613606350247,-1.38613606350247,-1.38613606350247,"Kentish Town","London","NW5 1TX"
"Nicholas Way",0.280435866096289,"House",3.14165076628956,2.5672201727947,2.5672201727947,2.5672201727947,"Northwood","Middlesex","HA6 2TR"
"Queens Grove",2.48571861741802,"House",1.56717007991814,1.90832746674517,1.90832746674517,1.90832746674517,"St John's Wood","London","NW8 6EN"
"Enmore Road",-0.491435149693829,"Flat / Apartment",-0.24260311126019,-0.0683506514034138,-0.0683506514034138,-0.0683506514034138,"Putney","London","SW15 6LL"
"The Chase",-0.610498365437689,"Flat / Apartment",-0.927223670417969,-1.38613606350247,-1.38613606350247,-1.38613606350247,"","London","SW4 0NP"
"Weymouth Mews",0.721492416360635,"House",0.0366693009872554,0.590542054646114,0.590542054646114,0.590542054646114,"Marylebone","London","W1G 7EB"
"Portland Place",0.104013245990551,"Flat / Apartment",-0.370144842837763,-0.0683506514034138,-0.0683506514034138,-0.0683506514034138,"Marylebone","London","W1B 1NX"
"Ternary Place",-0.53551875189275,"New development",-0.505749557446103,-0.727243357452941,-0.727243357452941,-0.727243357452941," Ealing","London","W5 3HJ"
"Weston Park",-0.359096131787012,"House",-0.0146405910267109,0.590542054646114,0.590542054646114,0.590542054646114,"Thames Ditton","Surrey","KT7 0HQ"
"Lysias Road",-0.248831994220926,"House",0.129760105069737,1.24943476069564,1.24943476069564,1.24943476069564,"","London","SW12 8BW"
"Prince Henry Road",-0.546545165649359,"House",-0.267525058809831,0.590542054646114,0.590542054646114,0.590542054646114,"Kidbrooke","London","SE7 8PP"
"Kirby Street",-0.546545165649359,"Flat / Apartment",-0.85978781234247,-1.38613606350247,-1.38613606350247,-1.38613606350247,"Clerkenwell","London","EC1N 8TE"
"Great Peter Street",-0.337043304273795,"New development",-0.675805199549534,-0.727243357452941,-0.727243357452941,-0.727243357452941,"Westminster","London","SW1P 2BN"
"Walton Street",1.80208096450828,"House",0.683906938820573,0.590542054646114,0.590542054646114,0.590542054646114,"","London","SW3 1RE"
"Chatto Road",-0.237805580464317,"House",-0.247734100461586,0.590542054646114,0.590542054646114,0.590542054646114,"","London","SW11 6LL"
"Redcliffe Square",-0.270884821734143,"Flat / Apartment",-0.472764626865696,-0.727243357452941,-0.727243357452941,-0.727243357452941,"","London","SW10 9JY"
"Elm Park Lane",0.19222455604342,"House",-0.435381705541235,-0.0683506514034138,-0.0683506514034138,-0.0683506514034138,"","London","SW3 6DB"
"Fassett Square",-0.160620684168056,"House",0.0718532269396894,0.590542054646114,0.590542054646114,0.590542054646114,"Hackney","London","E8 1DQ"
"Haverhill Road",-0.226779166707708,"House",-0.0806104521875247,1.24943476069564,1.24943476069564,1.24943476069564,"","London","SW12 0HD"
"Duckman Tower",-0.46936247463585,"Flat / Apartment",-0.565122432490835,-0.0683506514034138,-0.0683506514034138,-0.0683506514034138," Canary Wharf","London","E14 9BL"
"St. Stephens Crescent",-0.47156555210442,"Flat / Apartment",-0.892772742922877,-1.38613606350247,-1.38613606350247,-1.38613606350247,"","London","W2 5QT"
"West Grove",-0.590650820675794,"House",-0.647951258170524,-0.727243357452941,-0.727243357452941,-0.727243357452941,"Woodford Green","Essex","IG8 7NP"
"Ackmar Road",0.322336238371402,"House",0.298349750258484,1.24943476069564,1.24943476069564,1.24943476069564,"Fulham","London","SW6 4UP"
"Romney House",-0.460539138347812,"Flat / Apartment",-0.793084952724314,-0.727243357452941,-0.727243357452941,-0.727243357452941," Westminster","London","SW1P 3DS"
"Seymour Gardens",-0.29293764924736,"House",0.289553768770375,0.590542054646114,0.590542054646114,0.590542054646114,"Surbiton","Surrey","KT5 8QE"
"Sycamore Gardens",-0.52228705538482,"Flat / Apartment",-0.738843066880978,-0.727243357452941,-0.727243357452941,-0.727243357452941,"","London","W6 0AP"
"Quarrendon Street",0.19222455604342,"House",0.178138003254334,-0.0683506514034138,-0.0683506514034138,-0.0683506514034138,"","London","SW6 3SU"
"Meredyth Road",0.19222455604342,"House",0.271228807336816,1.24943476069564,1.24943476069564,1.24943476069564,"Barnes","London","SW13 0DS"
"Baronsmead Road",0.942020691492808,"House",1.46674929126223,1.24943476069564,1.24943476069564,1.24943476069564,"Barnes","London","SW13 9RR"
"Sisters Avenue",-0.601677234432402,"Flat / Apartment",-0.877379775318687,-0.727243357452941,-0.727243357452941,-0.727243357452941,"","London","SW11 5SQ"
"Warrington Gardens",-0.259858407977534,"Flat / Apartment",-0.387003807356638,-0.0683506514034138,-0.0683506514034138,-0.0683506514034138,"Little Venice","London","W9 2PZ"
"Pembroke Villas",1.16254896662498,"House",0.922864435914188,-0.0683506514034138,-0.0683506514034138,-0.0683506514034138,"","London","W8 6PG"
"North End Road",-0.0503565466019699,"House",0.302014742545195,0.590542054646114,0.590542054646114,0.590542054646114,"Hampstead","London","NW11 7SY"
"Heath Hurst Road",0.324541521122724,"House",0.46693939544723,0.590542054646114,0.590542054646114,0.590542054646114,"Hampstead","London","NW3 2RU"
"Tercelet Terrace",0.699439588847418,"House",0.4698713892766,0.590542054646114,0.590542054646114,0.590542054646114," Hampstead","London","NW3 7LW"
"Kersley Street",0.214277383556638,"House",0.344528653071053,1.24943476069564,1.24943476069564,1.24943476069564,"","London","SW11 4PR"
"Buckingham Gate",0.225303797313246,"Flat / Apartment",-0.362814858264339,-0.727243357452941,-0.727243357452941,-0.727243357452941,"St. James's","London","SW1E 6LB"
"Camelot Close",0.0577023082127948,"House",0.0938431806599607,1.24943476069564,1.24943476069564,1.24943476069564,"Wimbledon","London","SW19 7EA"
"Clarendon Close",-0.381148959300229,"House",-0.409726759534251,0.590542054646114,0.590542054646114,0.590542054646114,"South Hackney","London","E9 7BY"
"Klea Avenue",-0.0305090018400743,"House",0.440551450982904,1.24943476069564,1.24943476069564,1.24943476069564,"","London","SW4 9HG"
"Manor Place Depot",-0.518979131257837,"New development",-0.392134796558034,-0.0683506514034138,-0.0683506514034138,-0.0683506514034138,"","London","SE17 3BD"
"Molyneux Street",0.258383038583072,"House",-0.16857026706861,-0.0683506514034138,-0.0683506514034138,-0.0683506514034138,"","London","W1H 5HW"
"Gatti House",0.721492416360635,"Flat / Apartment",0.041800290188652,-0.727243357452941,-0.727243357452941,-0.727243357452941,"410 Strand","London","WC2R 0NR"
"Stanmore Way",-0.281911235490751,"New development",0.567360184103135,1.24943476069564,1.24943476069564,1.24943476069564,"Loughton","Essex","IG10 2SA"
"Thornhill Crescent",-0.447307441839881,"Flat / Apartment",-0.688999171781697,-0.727243357452941,-0.727243357452941,-0.727243357452941,"Barnsbury","London","N1 1BJ"
"Belsize Square",-0.478181400358385,"Flat / Apartment",-0.776225988205439,-0.727243357452941,-0.727243357452941,-0.727243357452941,"","London","NW3 4HL"
"Ditton Grove",-0.64580494228635,"New development",-0.744707054539717,-0.727243357452941,-0.727243357452941,-0.727243357452941,"Esher","Surrey","KT10 9FN"
"Sylvan Gardens",-0.16064273699557,"House",0.930194420487612,1.24943476069564,1.24943476069564,1.24943476069564,"Surbiton","Surrey","KT6 6PP"
"Milton Road",-0.425254614326664,"House",-0.463235646920245,-0.0683506514034138,-0.0683506514034138,-0.0683506514034138,"","London","SW14 8JP"
"Drakefield Road",0.280435866096289,"House",1.66612487165936,1.90832746674517,1.90832746674517,1.90832746674517,"","London","SW17 8RR"
"Chiswick High Road",-0.568597993162576,"Flat / Apartment",-0.688999171781697,-0.727243357452941,-0.727243357452941,-0.727243357452941,"Chiswick","London","W4 4AG"
"Bewick Street",-0.270884821734143,"House",-0.00364561416657527,1.24943476069564,1.24943476069564,1.24943476069564,"","London","SW8 3TA"
"Overstrand Mansions",-0.12754144289823,"Flat / Apartment",-0.0974694167063994,-0.0683506514034138,-0.0683506514034138,-0.0683506514034138,"Prince of Wales Drive","London","SW11 4EZ"
"Somerset Road",1.27281310419107,"House",3.58364883606701,1.90832746674517,1.90832746674517,1.90832746674517,"Wimbledon","London","SW19 5JZ"
"Burleigh Place",-0.303964063003969,"House",0.143687075759242,0.590542054646114,0.590542054646114,0.590542054646114,"Putney","London","SW15 6ES"
"Smarts Lane",-0.515671207130855,"House",-0.275588041840597,-0.0683506514034138,-0.0683506514034138,-0.0683506514034138,"Loughton","Essex","IG10 4BU"
"Freshford Street",-0.29293764924736,"House",0.0425332886459944,0.590542054646114,0.590542054646114,0.590542054646114,"","London","SW18 3TF"
"Ellerton Road",-0.0724093741151872,"House",0.484531358423447,1.24943476069564,1.24943476069564,1.24943476069564,"Wandsworth","London","SW18 3NH"
"Ladbroke Crescent & Basement",-0.381148959300229,"House",0.302014742545195,-0.727243357452941,-0.727243357452941,-0.727243357452941,"131 Ladbroke Grove","London","W11 1PS"
"Barts Square",-0.10107804988237,"New development",-0.593709372327188,-0.727243357452941,-0.727243357452941,-0.727243357452941," City Of London","London","EC1A 9DS"
"Elizabeth Place",-0.546545165649359,"Flat / Apartment",-0.59444237078453,-0.727243357452941,-0.727243357452941,-0.727243357452941," Esher","Surrey","KT10 8AP"
"Gleneldon Road",-0.00625089157553533,"House",1.49533623109858,1.90832746674517,1.90832746674517,1.90832746674517,"","London","SW16 2BZ"
"Windsor Court",0.236330211069855,"Flat / Apartment",0.0168783426390113,0.590542054646114,0.590542054646114,0.590542054646114," Bayswater","London","W2 4SN"
"Southbank Place",-0.29293764924736,"New development",-0.823137889475351,-1.38613606350247,-1.38613606350247,-1.38613606350247," South Bank","London","SE1 7NJ"
"The oTTo",-0.475976117607064,"New development",-0.395799788844746,-0.727243357452941,-0.727243357452941,-0.727243357452941," The Otto Buildings","Downs Road","E5 8DS"
"Haldane Road",-0.270884821734143,"House",-0.304174981676949,-0.727243357452941,-0.727243357452941,-0.727243357452941,"","London","SW6 7EU"
"Chipstead Street",0.19222455604342,"House",0.145886071131269,-0.0683506514034138,-0.0683506514034138,-0.0683506514034138," Fulham","London","SW6 3SS"
"Ruxley Crescent",-0.0283037190887526,"New development",1.58622803980904,0.590542054646114,0.590542054646114,0.590542054646114," Esher","Surrey","KT10 0TX"
"Sydney House",-0.248831994220926,"Flat / Apartment",-0.181764239300773,-0.0683506514034138,-0.0683506514034138,-0.0683506514034138,"Woodstock Road","London","W4 1DP"
"Waldemar Avenue",-0.0503565466019699,"House",-0.0974694167063994,0.590542054646114,0.590542054646114,0.590542054646114,"Fulham","London","SW6 5NA"
"Newstead Way",-0.162825966919378,"House",0.430289472580111,0.590542054646114,0.590542054646114,0.590542054646114,"","London","SW19 5HR"
"Crescent Road",-0.0040456088242136,"House",0.882549520760357,1.24943476069564,1.24943476069564,1.24943476069564,"Kingston upon Thames","Surrey","KT2 7RD"
"Melody Road",-0.105488615385013,"House",0.175939007882307,0.590542054646114,0.590542054646114,0.590542054646114,"","London","SW18 2QF"
"Hasker Street",0.567122623768114,"House",-0.193492214618251,-0.0683506514034138,-0.0683506514034138,-0.0683506514034138,"","London","SW3 2LE"
"Spring Terrace",1.49334137932324,"House",2.22247070078222,2.5672201727947,2.5672201727947,2.5672201727947,"Richmond","Surrey","TW9 1LW"
"Montague Road",1.8241337920215,"House",2.26131961902137,1.90832746674517,1.90832746674517,1.90832746674517,"Richmond","Surrey","TW10 6QW"
"Fairfax Mews",-0.206931621945813,"House",0.138556086557846,1.24943476069564,1.24943476069564,1.24943476069564,"Putney","London","SW15 6FF"
"Fairacres",-0.211342187448456,"Flat / Apartment",0.251437848988572,-0.0683506514034138,-0.0683506514034138,-0.0683506514034138," Putney","London","SW15 5LX"
"Clapham Common South Side",-0.469360269353098,"Flat / Apartment",-0.579782401637683,-0.727243357452941,-0.727243357452941,-0.727243357452941,"","London","SW4 9DX"
"Ormond Yard",0.807498443662183,"House",0.442017447897589,0.590542054646114,0.590542054646114,0.590542054646114,"St James's","London","SW1Y 6JT"
"Cadogan Square",0.148118901016986,"Flat / Apartment",-0.379673822783214,-0.727243357452941,-0.727243357452941,-0.727243357452941,"","London","SW1X 0JL"
"Cadogan Square",-0.303964063003969,"Flat / Apartment",-0.752037039113141,-0.727243357452941,-0.727243357452941,-0.727243357452941,"","London","SW1X 0JL"
"Aubrey Walk",3.36783171794671,"House",2.27378059279619,1.24943476069564,1.24943476069564,1.24943476069564,"","London","W8 7JG"
"Oakwood Court",0.545069796254897,"Flat / Apartment",0.554899210328315,0.590542054646114,0.590542054646114,0.590542054646114,"Holland Park","London","W14 8JS"
"Barnsbury Park",1.60360551688933,"House",1.43742935296854,0.590542054646114,0.590542054646114,0.590542054646114,"Islington","London","N1 1HQ"
"Fieldsway House",-0.414228200570055,"Flat / Apartment",-0.513812540476869,-0.0683506514034138,-0.0683506514034138,-0.0683506514034138," Highbury","London","N5 1QA"
"Long & Waterson Apartments",-0.579624406919185,"Penthouse",-0.95214561796761,-1.38613606350247,-1.38613606350247,-1.38613606350247," Hackney","London","E2 8HN"
"Mare Street",-0.707530806495845,"Studio",-0.976334567059908,-2.045028769552,-2.045028769552,-2.045028769552,"Hackney","London","E8 3RH"
"Reliance Wharf",-0.579624406919185,"Flat / Apartment",-0.854656823141074,-1.38613606350247,-1.38613606350247,-1.38613606350247,"Hertford Road","London","N1 5ET"
"Gayton Road",0.236330211069855,"House",0.358455623760558,1.24943476069564,1.24943476069564,1.24943476069564,"Hampstead","London","NW3 1TU"
"Ram Quarter",-0.566392710411254,"New development",-0.91842768892986,-1.38613606350247,-1.38613606350247,-1.38613606350247," Wandsworth","London","SW18 1TH"
"Grimston Road",0.19222455604342,"House",0.785793724391164,1.24943476069564,1.24943476069564,1.24943476069564,"Fulham","London","SW6 3QR"
"Balham Grove",-0.29293764924736,"House",-0.324698938482536,-0.0683506514034138,-0.0683506514034138,-0.0683506514034138,"","London","SW12 8BE"
"Fernside Road",-0.160620684168056,"House",0.162012037192802,1.24943476069564,1.24943476069564,1.24943476069564,"","London","SW12 8LH"
"Walsingham Place",0.170171728530203,"House",0.653854002069536,1.24943476069564,1.24943476069564,1.24943476069564,"","London","SW4 9RR"
"Englewood Road",-0.160620684168056,"House",0.24484086287249,0.590542054646114,0.590542054646114,0.590542054646114,"","London","SW12 9NZ"
"Streathbourne Road",0.126066073503768,"House",0.833438624118418,1.24943476069564,1.24943476069564,1.24943476069564,"","London","SW17 8RA"
"Rowfant Road",-0.118720311892944,"House",0.617204079202417,1.90832746674517,1.90832746674517,1.90832746674517,"","London","SW17 7AP"
"Tantallon Road",-0.131952008400874,"House",0.274893799623528,1.24943476069564,1.24943476069564,1.24943476069564,"","London","SW12 8DH"
"Honeybrook Road",-0.160620684168056,"House",0.33719866849763,1.24943476069564,1.24943476069564,1.24943476069564,"","London","SW12 0DL"
"Fenn Mansions",-0.645782889458837,"Flat / Apartment",-0.688266173324354,-0.727243357452941,-0.727243357452941,-0.727243357452941,"20 Love Lane","London","SE18 6GY"
"New Providence Wharf",-0.639167041204872,"Flat / Apartment",-0.870782789202606,-1.38613606350247,-1.38613606350247,-1.38613606350247," Canary Wharf","London","E14 9PW"
"Enclave Court",-0.206931621945813,"Penthouse",-0.354018876776231,-0.727243357452941,-0.727243357452941,-0.727243357452941,"2 Dallington Street","London","EC1V 0BH"
"Fairfax Road",0.412752831175593,"House",0.748410803066702,1.90832746674517,1.90832746674517,1.90832746674517," Chiswick","London","W4 1EN"
"Redcliffe Gardens",-0.295142931998682,"Flat / Apartment",-0.616432324504801,-0.727243357452941,-0.727243357452941,-0.727243357452941,"Chelsea","London","SW10 9HA"
"Drayton Court",0.390700003662376,"Flat / Apartment",0.092377183745276,0.590542054646114,0.590542054646114,0.590542054646114,"Drayton Gardens","London","SW10 9RH"
"Lower Mall",2.24313751477263,"House",2.77661753453306,1.90832746674517,1.90832746674517,1.90832746674517,"Hammersmith","London","W6 9DJ"
"Albert Bridge Road",0.390700003662376,"House",0.705163894083502,0.590542054646114,0.590542054646114,0.590542054646114,"Battersea","London","SW11 4PX"
"Ridgway",-0.590650820675794,"Flat / Apartment",-0.878845772233372,-0.727243357452941,-0.727243357452941,-0.727243357452941,"Wimbledon","London","SW19 4SX"
"Lowndes Square",1.58155268937611,"Flat / Apartment",0.151750058790008,-0.0683506514034138,-0.0683506514034138,-0.0683506514034138,"","London","SW1X 9HB"
"Basilica Mews",0.203250969800029,"New development",0.49772533065561,0.590542054646114,0.590542054646114,0.590542054646114,"","Thurleigh Road","SW12 8UF"
"Devonshire Mews South",0.831756553926722,"House",1.13103599779942,-0.0683506514034138,-0.0683506514034138,-0.0683506514034138,"Marylebone","London","W1G 6QW"
"Ovington Gardens",-0.0503565466019699,"Flat / Apartment",-0.732246080764897,-0.727243357452941,-0.727243357452941,-0.727243357452941,"","London","SW3 1LS"
"Cubitt Building",-0.491413096866316,"Flat / Apartment",-0.812875911072558,-1.38613606350247,-1.38613606350247,-1.38613606350247," Chelsea","London","SW1W 8QL"
"Iverna Court",0.567122623768114,"Flat / Apartment",0.0308053133285164,0.590542054646114,0.590542054646114,0.590542054646114,"","London","W8 6TS"
"Selborne Villas",-0.314990476760577,"House",0.472070384648627,0.590542054646114,0.590542054646114,0.590542054646114," Esher","Surrey","KT10 9UD"
"Waleorde Road",-0.568597993162576,"Flat / Apartment",-0.669208213433453,-0.727243357452941,-0.727243357452941,-0.727243357452941,"","London","SE17 1GG"
"Louisville Road",-0.270884821734143,"House",0.558564202615027,1.90832746674517,1.90832746674517,1.90832746674517,"","London","SW17 8RU"
