"","X","Property.Name","Price","House.Type","Area.in.sq.ft","No..of.Bedrooms","No..of.Bathrooms","No..of.Receptions","Location","City.County","Postal.Code"
"24",23,"Campden Hill Gardens",1504000,"Flat / Apartment",765,2,2,2,"","London","W8 7AX"
"25",24,"College Cross",704000,"Flat / Apartment",479,1,1,1,"Islington","London","N1 1PT"
"26",25,"St Mary's Grove",1664000,"House",1101,3,3,3," Islington","London","N1 2NT"
"27",26,"Goldhurst Terrace",1024000,"Flat / Apartment",1177,3,3,3,"South Hampstead","London","NW6 3HR"
"28",27,"Upper Park Road",4480000,"House",2331,4,4,4,"Belsize Park","London","NW3 2UP"
"29",28,"Ditton Grove",479936,"New development",664,2,2,2,"Esher","Surrey","KT10 9FN"
"30",29,"Roymount Court",512000,"Flat / Apartment",805,2,2,2," Surbiton","Surrey","KT6 6NW"
"31",30,"Wetherby House",1408000,"Flat / Apartment",582,2,2,2,"20-21 Wetherby Gardens","London","SW5 0JP"
"32",31,"Fernside Road",1536000,"House",1494,4,4,4,"","London","SW12 8LJ"
"33",32,"Telford Avenue",1600000,"House",1507,4,4,4,"","London","SW2 4XF"
"34",33,"Telford Avenue",889600,"Flat / Apartment",945,3,3,3,"","London","SW2 4XQ"
"35",34,"Stile Hall Gardens",2220800,"House",2118,4,4,4,"Chiswick","London","W4 3BS"
"36",35,"Wavendon Avenue",3008000,"House",2297,5,5,5,"Chiswick","London","W4 4NR"
"37",36,"Duke Road",1536000,"House",1351,4,4,4,"Chiswick","London","W4 2BA"
"38",37,"Hobury Street",1248000,"Flat / Apartment",749,2,2,2,"","London","SW10 0JB"
"39",38,"Maltings Close",1088000,"House",1177,3,3,3,"Barnes","London","SW13 0NL"
"40",39,"Munster Road",2047936,"House",1884,4,4,4,"Fulham","London","SW6 5RF"
"41",40,"Khyber Road",1184000,"Flat / Apartment",1321,2,2,2,"","London","SW11 2PZ"
"42",41,"Coles Court",832000,"Flat / Apartment",869,3,3,3,"","Battersea","SW11 3DU"
"43",42,"Prince Of Wales Mansions",704000,"Flat / Apartment",670,1,1,1,"","London","SW11 4BG"
"44",43,"Old Battersea House",12768000,"House",10100,10,10,10," Battersea","London","SW11 3LD"
"45",44,"Kersley Street",2368000,"House",1910,5,5,5,"","London","SW11 4PT"
"46",45,"Battersea Bridge Road",672000,"New development",590,1,1,1,"","London","SW11 3AU"
"47",46,"Larkhall Rise",2816000,"House",2239,4,4,4,"","London","SW4 6HS"
"48",47,"Ashley Park Avenue",4416000,"House",5599,6,6,6,"Walton-on-Thames","Surrey","KT12 1EU"
"49",48,"Carlisle Mansions",2559998.72,"Flat / Apartment",1608,3,3,3," Victoria","London","SW1P 1EZ"
"50",49,"Park Close",928000,"House",884,3,3,3,"South Hackney","London","E9 7LF"
"51",50,"Century Court",2240000,"Flat / Apartment",1232,2,2,2,"Grove End Road","London","NW8 9LD"
"52",51,"Eaton Square",6720000,"Flat / Apartment",2299,3,3,3,"","London","SW1W 9DF"
"53",52,"Hornsey Town Hall",1600000,"New development",1307,3,3,3,"Crouch End","London","N8 9JJ"
"54",53,"The oTTo, Hackney",627200,"New development",570,1,1,1," Downs Road","Clapton","E5 8DS"
"55",54,"Francis House",4288000,"Penthouse",2185,3,3,3,"Coleridge Gardens","London","SW10 0RP"
"56",55,"Wendle Square",1280000,"Flat / Apartment",1228,3,3,3,"Battersea","London","SW11 4SS"
"57",56,"Rectory Road",3008000,"House",2511,4,4,4,"Barnes","London","SW13 0DX"
"58",57,"Thames Quay",2681600,"Flat / Apartment",1528,3,3,3,"Chelsea Harbour","London","SW10 0UY"
"59",58,"Prince Edward Mansions",1600000,"Flat / Apartment",811,2,2,2," Bayswater","London","W2 4WA"
"60",59,"Harbut Road",940800,"Flat / Apartment",969,2,2,2,"","London","SW11 2RE"
"61",60,"Chasefield Road",1120000,"House",1132,4,4,4,"Tooting","London","SW17 8LW"
"62",61,"Fernwood Avenue",1600000,"House",2498,6,6,6,"","London","SW16 1RD"
"63",62,"Havilland Mews",761600,"Flat / Apartment",643,2,2,2,"","London","W12 8BG"
"64",63,"Hampermill Lane",2144000,"House",5022,3,3,3,"Watford","Hertfordshire","WD19 4PL"
"65",64,"Gatehill Road",3321600,"House",4858,6,6,6,"Northwood","Middlesex","HA6 3QF"
"66",65,"St. Davids Mews",1049600,"House",974,3,3,3,"Morgan Street","London","E3 5AZ"
"67",66,"Chester Close South",1062400,"Flat / Apartment",850,2,2,2,"Regent's Park","London","NW1 4JG"
"68",67,"Lady Somerset Road",640000,"Flat / Apartment",458,1,1,1,"Kentish Town","London","NW5 1TX"
"69",68,"Nicholas Way",3200000,"House",5999,7,7,7,"Northwood","Middlesex","HA6 2TR"
"70",69,"Queens Grove",9600000,"House",3851,6,6,6,"St John's Wood","London","NW8 6EN"
"71",70,"Enmore Road",959936,"Flat / Apartment",1382,3,3,3,"Putney","London","SW15 6LL"
"72",71,"The Chase",614400,"Flat / Apartment",448,1,1,1,"","London","SW4 0NP"
"73",72,"Weymouth Mews",4480000,"House",1763,4,4,4,"Marylebone","London","W1G 7EB"
"74",73,"Portland Place",2688000,"Flat / Apartment",1208,3,3,3,"Marylebone","London","W1B 1NX"
"75",74,"Ternary Place",832000,"New development",1023,2,2,2," Ealing","London","W5 3HJ"
"76",75,"Weston Park",1344000,"House",1693,4,4,4,"Thames Ditton","Surrey","KT7 0HQ"
"77",76,"Lysias Road",1664000,"House",1890,5,5,5,"","London","SW12 8BW"
"78",77,"Prince Henry Road",8e+05,"House",1348,4,4,4,"Kidbrooke","London","SE7 8PP"
"79",78,"Kirby Street",8e+05,"Flat / Apartment",540,1,1,1,"Clerkenwell","London","EC1N 8TE"
"80",79,"Great Peter Street",1408000,"New development",791,2,2,2,"Westminster","London","SW1P 2BN"
"81",80,"Walton Street",7616000,"House",2646,4,4,4,"","London","SW3 1RE"
"82",81,"Chatto Road",1696000,"House",1375,4,4,4,"","London","SW11 6LL"
"83",82,"Redcliffe Square",1600000,"Flat / Apartment",1068,2,2,2,"","London","SW10 9JY"
"84",83,"Elm Park Lane",2944000,"House",1119,3,3,3,"","London","SW3 6DB"
"85",84,"Fassett Square",1920000,"House",1811,4,4,4,"Hackney","London","E8 1DQ"
"86",85,"Haverhill Road",1728000,"House",1603,5,5,5,"","London","SW12 0HD"
"87",86,"Duckman Tower",1023993.6,"Flat / Apartment",942,3,3,3," Canary Wharf","London","E14 9BL"
"88",87,"St. Stephens Crescent",1017600,"Flat / Apartment",495,1,1,1,"","London","W2 5QT"
"89",88,"West Grove",672000,"House",829,2,2,2,"Woodford Green","Essex","IG8 7NP"
"90",89,"Ackmar Road",3321600,"House",2120,5,5,5,"Fulham","London","SW6 4UP"
"91",90,"Romney House",1049600,"Flat / Apartment",631,2,2,2," Westminster","London","SW1P 3DS"
"92",91,"Seymour Gardens",1536000,"House",2108,4,4,4,"Surbiton","Surrey","KT5 8QE"
"93",92,"Sycamore Gardens",870400,"Flat / Apartment",705,2,2,2,"","London","W6 0AP"
"94",93,"Quarrendon Street",2944000,"House",1956,3,3,3,"","London","SW6 3SU"
"95",94,"Meredyth Road",2944000,"House",2083,5,5,5,"Barnes","London","SW13 0DS"
"96",95,"Baronsmead Road",5120000,"House",3714,5,5,5,"Barnes","London","SW13 9RR"
"97",96,"Sisters Avenue",640000,"Flat / Apartment",516,2,2,2,"","London","SW11 5SQ"
"98",97,"Warrington Gardens",1632000,"Flat / Apartment",1185,3,3,3,"Little Venice","London","W9 2PZ"
"99",98,"Pembroke Villas",5760000,"House",2972,3,3,3,"","London","W8 6PG"
"100",99,"North End Road",2240000,"House",2125,4,4,4,"Hampstead","London","NW11 7SY"
"101",100,"Heath Hurst Road",3328000,"House",2350,4,4,4,"Hampstead","London","NW3 2RU"
"102",101,"Tercelet Terrace",4416000,"House",2354,4,4,4," Hampstead","London","NW3 7LW"
"103",102,"Kersley Street",3008000,"House",2183,5,5,5,"","London","SW11 4PR"
"104",103,"Buckingham Gate",3040000,"Flat / Apartment",1218,2,2,2,"St. James's","London","SW1E 6LB"
"105",104,"Camelot Close",2553600,"House",1841,5,5,5,"Wimbledon","London","SW19 7EA"
"106",105,"Clarendon Close",1280000,"House",1154,4,4,4,"South Hackney","London","E9 7BY"
"107",106,"Klea Avenue",2297600,"House",2314,5,5,5,"","London","SW4 9HG"
"108",107,"Manor Place Depot",880000,"New development",1178,3,3,3,"","London","SE17 3BD"
"109",108,"Molyneux Street",3136000,"House",1483,3,3,3,"","London","W1H 5HW"
"110",109,"Gatti House",4480000,"Flat / Apartment",1770,2,2,2,"410 Strand","London","WC2R 0NR"
"111",110,"Stanmore Way",1568000,"New development",2487,5,5,5,"Loughton","Essex","IG10 2SA"
"112",111,"Thornhill Crescent",1088000,"Flat / Apartment",773,2,2,2,"Barnsbury","London","N1 1BJ"
"113",112,"Belsize Square",998400,"Flat / Apartment",654,2,2,2,"","London","NW3 4HL"
"114",113,"Ditton Grove",511936,"New development",697,2,2,2,"Esher","Surrey","KT10 9FN"
"115",114,"Sylvan Gardens",1919936,"House",2982,5,5,5,"Surbiton","Surrey","KT6 6PP"
"116",115,"Milton Road",1152000,"House",1081,3,3,3,"","London","SW14 8JP"
"117",116,"Drakefield Road",3200000,"House",3986,6,6,6,"","London","SW17 8RR"
"118",117,"Chiswick High Road",736000,"Flat / Apartment",773,2,2,2,"Chiswick","London","W4 4AG"
"119",118,"Bewick Street",1600000,"House",1708,5,5,5,"","London","SW8 3TA"
"120",119,"Overstrand Mansions",2016000,"Flat / Apartment",1580,3,3,3,"Prince of Wales Drive","London","SW11 4EZ"
"121",120,"Somerset Road",6080000,"House",6602,6,6,6,"Wimbledon","London","SW19 5JZ"
"122",121,"Burleigh Place",1504000,"House",1909,4,4,4,"Putney","London","SW15 6ES"
"123",122,"Smarts Lane",889600,"House",1337,3,3,3,"Loughton","Essex","IG10 4BU"
"124",123,"Freshford Street",1536000,"House",1771,4,4,4,"","London","SW18 3TF"
"125",124,"Ellerton Road",2176000,"House",2374,5,5,5,"Wandsworth","London","SW18 3NH"
"126",125,"Ladbroke Crescent & Basement",1280000,"House",2125,2,2,2,"131 Ladbroke Grove","London","W11 1PS"
"127",126,"Barts Square",2092800,"New development",903,2,2,2," City Of London","London","EC1A 9DS"
"128",127,"Elizabeth Place",8e+05,"Flat / Apartment",902,2,2,2," Esher","Surrey","KT10 8AP"
"129",128,"Gleneldon Road",2368000,"House",3753,6,6,6,"","London","SW16 2BZ"
"130",129,"Windsor Court",3072000,"Flat / Apartment",1736,4,4,4," Bayswater","London","W2 4SN"
"131",130,"Southbank Place",1536000,"New development",590,1,1,1," South Bank","London","SE1 7NJ"
"132",131,"The oTTo",1004800,"New development",1173,2,2,2," The Otto Buildings","Downs Road","E5 8DS"
"133",132,"Haldane Road",1600000,"House",1298,2,2,2,"","London","SW6 7EU"
"134",133,"Chipstead Street",2944000,"House",1912,3,3,3," Fulham","London","SW6 3SS"
"135",134,"Ruxley Crescent",2304000,"New development",3877,4,4,4," Esher","Surrey","KT10 0TX"
"136",135,"Sydney House",1664000,"Flat / Apartment",1465,3,3,3,"Woodstock Road","London","W4 1DP"
"137",136,"Waldemar Avenue",2240000,"House",1580,4,4,4,"Fulham","London","SW6 5NA"
"138",137,"Newstead Way",1913600,"House",2300,4,4,4,"","London","SW19 5HR"
"139",138,"Crescent Road",2374400,"House",2917,5,5,5,"Kingston upon Thames","Surrey","KT2 7RD"
"140",139,"Melody Road",2080000,"House",1953,4,4,4,"","London","SW18 2QF"
"141",140,"Hasker Street",4032000,"House",1449,3,3,3,"","London","SW3 2LE"
"142",141,"Spring Terrace",6720000,"House",4745,7,7,7,"Richmond","Surrey","TW9 1LW"
"143",142,"Montague Road",7680000,"House",4798,6,6,6,"Richmond","Surrey","TW10 6QW"
"144",143,"Fairfax Mews",1785600,"House",1902,5,5,5,"Putney","London","SW15 6FF"
"145",144,"Fairacres",1772800,"Flat / Apartment",2056,3,3,3," Putney","London","SW15 5LX"
"146",145,"Clapham Common South Side",1024000,"Flat / Apartment",922,2,2,2,"","London","SW4 9DX"
"147",146,"Ormond Yard",4729600,"House",2316,4,4,4,"St James's","London","SW1Y 6JT"
"148",147,"Cadogan Square",2816000,"Flat / Apartment",1195,2,2,2,"","London","SW1X 0JL"
"149",148,"Cadogan Square",1504000,"Flat / Apartment",687,2,2,2,"","London","SW1X 0JL"
"150",149,"Aubrey Walk",12160000,"House",4815,5,5,5,"","London","W8 7JG"
"151",150,"Oakwood Court",3968000,"Flat / Apartment",2470,4,4,4,"Holland Park","London","W14 8JS"
"152",151,"Barnsbury Park",7040000,"House",3674,4,4,4,"Islington","London","N1 1HQ"
"153",152,"Fieldsway House",1184000,"Flat / Apartment",1012,3,3,3," Highbury","London","N5 1QA"
"154",153,"Long & Waterson Apartments",704000,"Penthouse",414,1,1,1," Hackney","London","E2 8HN"
"155",154,"Mare Street",332800,"Studio",381,0,0,0,"Hackney","London","E8 3RH"
"156",155,"Reliance Wharf",704000,"Flat / Apartment",547,1,1,1,"Hertford Road","London","N1 5ET"
"157",156,"Gayton Road",3072000,"House",2202,5,5,5,"Hampstead","London","NW3 1TU"
"158",157,"Ram Quarter",742400,"New development",460,1,1,1," Wandsworth","London","SW18 1TH"
"159",158,"Grimston Road",2944000,"House",2785,5,5,5,"Fulham","London","SW6 3QR"
"160",159,"Balham Grove",1536000,"House",1270,3,3,3,"","London","SW12 8BE"
"161",160,"Fernside Road",1920000,"House",1934,5,5,5,"","London","SW12 8LH"
"162",161,"Walsingham Place",2880000,"House",2605,5,5,5,"","London","SW4 9RR"
"163",162,"Englewood Road",1920000,"House",2047,4,4,4,"","London","SW12 9NZ"
"164",163,"Streathbourne Road",2752000,"House",2850,5,5,5,"","London","SW17 8RA"
"165",164,"Rowfant Road",2041600,"House",2555,6,6,6,"","London","SW17 7AP"
"166",165,"Tantallon Road",2003200,"House",2088,5,5,5,"","London","SW12 8DH"
"167",166,"Honeybrook Road",1920000,"House",2173,5,5,5,"","London","SW12 0DL"
"168",167,"Fenn Mansions",512000,"Flat / Apartment",774,2,2,2,"20 Love Lane","London","SE18 6GY"
"169",168,"New Providence Wharf",531200,"Flat / Apartment",525,1,1,1," Canary Wharf","London","E14 9PW"
"170",169,"Enclave Court",1785600,"Penthouse",1230,2,2,2,"2 Dallington Street","London","EC1V 0BH"
"171",170,"Fairfax Road",3584000,"House",2734,6,6,6," Chiswick","London","W4 1EN"
"172",171,"Redcliffe Gardens",1529600,"Flat / Apartment",872,2,2,2,"Chelsea","London","SW10 9HA"
"173",172,"Drayton Court",3520000,"Flat / Apartment",1839,4,4,4,"Drayton Gardens","London","SW10 9RH"
"174",173,"Lower Mall",8896000,"House",5501,6,6,6,"Hammersmith","London","W6 9DJ"
"175",174,"Albert Bridge Road",3520000,"House",2675,4,4,4,"Battersea","London","SW11 4PX"
"176",175,"Ridgway",672000,"Flat / Apartment",514,2,2,2,"Wimbledon","London","SW19 4SX"
"177",176,"Lowndes Square",6976000,"Flat / Apartment",1920,3,3,3,"","London","SW1X 9HB"
"178",177,"Basilica Mews",2976000,"New development",2392,4,4,4,"","Thurleigh Road","SW12 8UF"
"179",178,"Devonshire Mews South",4800000,"House",3256,3,3,3,"Marylebone","London","W1G 6QW"
"180",179,"Ovington Gardens",2240000,"Flat / Apartment",714,2,2,2,"","London","SW3 1LS"
"181",180,"Cubitt Building",960000,"Flat / Apartment",604,1,1,1," Chelsea","London","SW1W 8QL"
"182",181,"Iverna Court",4032000,"Flat / Apartment",1755,4,4,4,"","London","W8 6TS"
"183",182,"Selborne Villas",1472000,"House",2357,4,4,4," Esher","Surrey","KT10 9UD"
"184",183,"Waleorde Road",736000,"Flat / Apartment",800,2,2,2,"","London","SE17 1GG"
"185",184,"Louisville Road",1600000,"House",2475,6,6,6,"","London","SW17 8RU"
"186",185,"Langroyd Road",1472000,"House",1703,4,4,4,"","London","SW17 7PL"
"187",186,"Dance Square",832000,"Flat / Apartment",584,1,1,1," Clerkenwell","London","EC1V 3AN"
"188",187,"Cranbrook Road",1657600,"House",1356,4,4,4,"Chiswick","London","W4 2LH"
"189",188,"Buer Road",979200,"Flat / Apartment",1362,3,3,3," Fulham","London","SW6 4LA"
"190",189,"Lillian Road",1408000,"House",1420,3,3,3,"Barnes","London","SW13 9JF"
"191",190,"Ranelagh Avenue",3008000,"House",2153,4,4,4,"Barnes","London","SW13 0BL"
"192",191,"Hillbrook Road",1235200,"House",1222,4,4,4,"Tooting Bec","London","SW17  8SF"
"193",192,"Weller Court",2240000,"Flat / Apartment",732,1,1,1," Holland Park","London","W11 3NT"
"194",193,"The oTTo, Hackney",1024000,"New development",1119,2,2,2," Clapton","E5 8DE","E5 8DS"
"195",194,"The Grange",1344000,"House",2375,5,5,5," Walton-on-Thames","Surrey","KT12 3HN"
"196",195,"Stuart Tower",608000,"Flat / Apartment",525,1,1,1,"105 Maida Vale","London","W9 1UJ"
"197",196,"Abbey Road Cross",963200,"New development",874,2,2,2,"131-143 Belsize Road","London","NW6 4BR"
"198",197,"Ardleigh Road",1791936,"House",1748,4,4,4,"","De Beauvoir","N1 4FA"
"199",198,"Littleworth Avenue",3577600,"House",6061,7,7,7,"Esher","Surrey","KT10 9PB"
"200",199,"Ruxley Crescent",2240000,"New development",3913,4,4,4," Esher","Surrey","KT10 0TX"
"201",200,"Clapham Common West Side",3833600,"House",3406,5,5,5,"Between The Commons","London","SW4 9AU"
"202",201,"Parkfield Avenue",2336000,"House",2500,5,5,5,"","London","SW14 8DY"
"203",202,"Sutherland House",704000,"Flat / Apartment",609,2,2,2,"137-139 Queenstown Road","London","SW8 3RJ"
"204",203,"Hambalt Road",2368000,"House",2516,5,5,5,"","London","SW4 9EL"
"205",204,"Ormond House",8e+05,"Flat / Apartment",428,1,1,1," Westminster","London","SW1P 2TB"
"206",205,"Buckingham Gate",2931200,"Flat / Apartment",1604,2,2,2,"St. James's","London","SW1E 6LB"
"207",206,"Radnor Walk",4416000,"House",1820,5,5,5,"Chelsea","London","SW3 4BN"
"208",207,"King Henrys Road",1273600,"Flat / Apartment",710,2,2,2,"Primrose Hill","London","NW3 3QR"
"209",208,"ICON7",576000,"New development",538,1,1,1," Holloway","London","N7 0JN"
"210",209,"Montgomery Road",1088000,"Flat / Apartment",935,2,2,2,"Chiswick","London","W4 5LZ"
"211",210,"Carlton Mansions",1248000,"Flat / Apartment",950,2,2,2," Maida Vale","London","W9 1NP"
"212",211,"Palace Gardens Terrace",2368000,"Flat / Apartment",924,3,3,3,"","London","W8 4SA"
"213",212,"Acer Road",1203200,"House",1074,3,3,3,"Hackney","London","E8 3GX"
"214",213,"Corkran Road",2041600,"House",3261,5,5,5,"Surbiton","Surrey","KT6 6PN"
"215",214,"Grosvenor Avenue",1632000,"House",1779,4,4,4,"","London","SW14 8BT"
"216",215,"Enmore Gardens",1696000,"House",1541,4,4,4,"","London","SW14 8RF"
"217",216,"Oxhey Road",1088000,"House",1687,4,4,4,"Oxhey","Hertfordshire","WD19 4QG"
"218",217,"Grandison Road",1107200,"Flat / Apartment",880,2,2,2,"","London","SW11 6LN"
"219",218,"Lavender Sweep",832000,"Flat / Apartment",859,2,2,2,"","London","SW11 1EA"
"220",219,"Hollandgreen Place",4480000,"New development",1577,2,2,2,"","London","W8 6AX"
"221",220,"Horsell Road",2169600,"House",1944,5,5,5,"Highbury","London","N5 1XP"
"222",221,"Avon Court",511993.6,"Flat / Apartment",472,1,1,1," Canary Wharf","London","E14 7SZ"
"223",222,"Castelnau",7360000,"House",4682,6,6,6,"Barnes","London","SW13 9EU"
"224",223,"Lower Belgrave Street",5952000,"House",2865,4,4,4,"Belgravia","London","SW1W 0LN"
"225",224,"Harper Lane",2112000,"House",4016,8,8,8," Radlett","Hertfordshire","WD7 9HJ"
"226",225,"Donne Place",3584000,"House",1448,3,3,3,"","London","SW3 2NH"
"227",226,"Oakley Road",1408000,"Flat / Apartment",1056,3,3,3,"","London","N1 3LL"
"228",227,"Goldhurst House",3392000,"Flat / Apartment",1811,3,3,3," Parr's Way","London","W6 9AN"
"229",228,"Telford Avenue",2016000,"House",2550,5,5,5,"","London","SW2 4XL"
"230",229,"Mandeville Courtyard",672000,"Flat / Apartment",775,1,1,1,"142 Battersea Park Road","London","SW11 4NB"
"231",230,"Tufton Street",2112000,"Flat / Apartment",1099,2,2,2,"Westminster","London","SW1P 3AF"
"232",231,"Colosseum Terrace",1088000,"Flat / Apartment",726,2,2,2,"Albany Street","London","NW1 4EB"
"233",232,"Rede Place",3456000,"House",1791,3,3,3,"Notting Hill","London","W2 4TU"
"234",233,"Tennyson Road",889600,"House",795,2,2,2,"Wimbledon","London","SW19 8SH"
"235",234,"Coleford Road",1792000,"House",1799,4,4,4,"London","Wandsworth","SW18 1AD"
"236",235,"St. Anns Terrace",2624000,"House",1293,3,3,3,"St John's Wood","London","NW8 6PJ"
"237",236,"Durward Street",787200,"Flat / Apartment",972,2,2,2,"Whitechapel","London","E1 5BA"
"238",237,"Fairacres",1280000,"Flat / Apartment",1777,3,3,3," Putney","London","SW15 5LX"
"239",238,"Clapham Park Road",403200,"Flat / Apartment",526,1,1,1,"","London","SW4 7EX"
"240",239,"Moore House",2368000,"New development",1328,3,3,3,"2 Gatliff Road","London","SW1W 8DT"
"241",240,"Graham Terrace",3705600,"House",1289,3,3,3,"","London","SW1W 8HN"
"242",241,"Whiston House",576000,"Flat / Apartment",459,1,1,1,"Bingham Court","London","N1 2DH"
"243",242,"Grand Avenue",640000,"House",963,2,2,2,"Surbiton","Surrey","KT5 9HU"
"244",243,"Tooting Bec Road",864000,"Flat / Apartment",949,2,2,2,"","London","SW17 8BW"
"245",244,"Dance Square",832000,"Flat / Apartment",583,1,1,1,"Peartree Street","Clerkenwell","EC1V 3AN"
"246",245,"Flanders Road",1785600,"House",1068,1,1,1,"Chiswick","London","W4 1NB"
"247",246,"The Spinney",3065600,"House",4966,5,5,5," Oxshott","Surrey","KT22 0PL"
"248",247,"Astley House",928000,"Flat / Apartment",858,3,3,3,"42 Trinity Church Road","London","SW13 8EA"
"249",248,"Suffolk Road",2560000,"House",2525,4,4,4,"Barnes","London","SW13 9PH"
"250",249,"Shorrolds Road",8e+05,"Flat / Apartment",664,2,2,2,"","London","SW6 7TP"
"251",250,"Raynham Road",1728000,"House",1328,3,3,3,"Brackenbury Village","London","W6 0HY"
"252",251,"Henning Street",2688000,"House",2191,4,4,4,"Battersea","London","SW11 3DR"
"253",252,"The Mount",4672000,"House",8034,6,6,6,"Esher","Surrey","KT10 8LQ"
"254",253,"Palewell Park",2368000,"House",1892,4,4,4,"","London","SW14 8JJ"
"255",254,"Cranbourne Court",1920000,"Flat / Apartment",1132,3,3,3,"Albert Bridge Road","London","SW11 4PE"
"256",255,"Rothwell Street",4640000,"House",2190,4,4,4,"Primrose Hill","London","NW1 8YH"
"257",256,"New Concordia Wharf",1920000,"Flat / Apartment",1274,2,2,2,"Mill Street","London","SE1 2BB"
"258",257,"Castelnau",672000,"Flat / Apartment",630,2,2,2,"Barnes","London","SW13 9ER"
"259",258,"Banbury House",371200,"Flat / Apartment",455,1,1,1,"Banbury Road","London","E9 7ED"
"260",259,"Putney Heath Lane",2208000,"House",2931,5,5,5,"Putney","London","SW15 3JG"
"261",260,"Rydon Street",1785600,"House",1510,3,3,3,"Islington","London","N1 7AL"
"262",261,"Aragon Tower",512000,"Flat / Apartment",705,2,2,2,"George Beard Road","Deptford","SE8 3AL"
"263",262,"Cadogan Lane",4288000,"House",1504,3,3,3,"","London","SW1X 9DU"
"264",263,"Cedar Mews",2297600,"House",2067,4,4,4," Putney","London","SW15 6ED"
"265",264,"Tormead",768000,"Flat / Apartment",1160,2,2,2," Northwood","Middlesex","HA6 2BX"
"266",265,"Kent Avenue",1920000,"House",1997,4,4,4,"Ealing","London","W13 8BH"
"267",266,"Trefoil Road",2048000,"House",2149,4,4,4,"Wandsworth","London","SW18 2EQ"
"268",267,"Thirlmere Road",1984000,"House",3620,7,7,7,"","London","SW16 1QW"
"269",268,"The Regency",1696000,"Flat / Apartment",1195,3,3,3," Westminster","London","SW1P 4HD"
"270",269,"Murray Mews",1785600,"House",1587,3,3,3,"Camden","London","NW1 9RJ"
"271",270,"Wilmington Square",940800,"Flat / Apartment",849,2,2,2,"","London","WC1X 0ER"
"272",271,"Lynwood Road",1056000,"House",2094,4,4,4,"Thames Ditton","Surrey","KT7 0DJ"
"273",272,"Telfords Yard",1920000,"Flat / Apartment",2550,3,3,3,"","London","E1W 2BQ"
"274",273,"Landmark East Tower",869120,"Flat / Apartment",832,2,2,2," Canary Wharf","London","E14 9DB"
"275",274,"Stanley Mansions",1920000,"Flat / Apartment",1244,3,3,3,"Park Walk","London","SW10 0AG"
"276",275,"Ducks Hill Road",1280000,"New development",1501,3,3,3,"Northwood","Middlesex","HA6 2SB"
"277",276,"Blomfield Road",6393600,"House",3035,4,4,4,"Little Venice","London","W9 2PF"
"278",277,"Wadham Road",1728000,"House",1604,4,4,4,"Putney","London","SW15 2LS"
"279",278,"Bingfield Street",8e+05,"New development",723,2,2,2,"","London","N1 0BH"
"280",279,"Orsman Road",768000,"Flat / Apartment",660,2,2,2,"Hackney","London","N1 5QL"
"281",280,"Cinnabar Wharf East",1120000,"Flat / Apartment",627,1,1,1,"28 Wapping High Street","London","E1W 1NG"
